Launch App..
Initiating main..
('Counting words in ', 's3://spark-emr-wc-bucket/spark-emr-wc-inp.txt')
: 10438
Tonight,: 1
ever.: 1
clearing,: 1
limited: 2
hawkâ€™s: 1
reason,: 5
bear: 3
powders: 1
yellow: 2
moonlight.: 1
four: 1
generations.: 1
protest: 1
forest?â€: 1
sleep: 5
hanging: 2
redistribution.: 1
oldest: 5
offenses: 1
up,: 2
calculate: 1
voted: 1
under: 28
pride: 5
body.â€: 1
fists: 1
void: 1
rise: 2
serfdom,: 1
tears.: 1
knelt: 2
every: 3
foul: 1
east.: 1
impotent,: 1
Infants: 1
wagons: 1
fingers,: 2
today,: 2
spirit...: 1
501(c)(3): 1
Stones: 1
disturb: 1
squares: 4
conceive: 2
future,: 1
expenses,: 2
May: 4
guiding: 2
whispered.: 3
offense.: 1
Author:: 1
clothes: 1
spoken,: 2
parted: 1
spoken.: 1
shelves,: 1
â€œthat: 1
created.: 1
March,: 1
me.: 5
scream:: 1
depraved: 1
second: 7
street: 1
allowed.: 1
others,: 2
others.: 7
scraped: 1
â€œbut: 2
me;: 1
shining: 1
even: 9
change.: 1
tunics,: 1
hide: 3
wreck: 1
nature,: 1
nature.: 1
cooking: 1
revolves: 1
fingers: 1
lights: 1
another,: 2
Ones: 8
understood.: 1
rest.: 2
above: 9
new: 19
increasing: 1
ever: 14
told: 3
ANTHEM: 3
hear,: 1
avert: 1
whose: 5
unmoving,: 1
men: 103
here: 9
hundreds: 2
reported: 1
glass.: 3
glass,: 3
UNDER: 1
active: 2
path: 2
through,: 1
through.: 2
dry: 2
cried.: 3
ask.: 1
employees: 2
changed: 1
One,: 7
One.: 8
error?: 1
credit: 1
power,â€: 1
smoke: 1
north,: 1
NOT: 2
Home: 42
prison.: 1
Sweeper.â€: 1
error,: 2
light?: 1
golden: 2
divide: 1
City: 26
Rather: 1
breath,: 2
explained: 1
equipment.: 2
replace: 1
brought: 17
Preference.: 1
Trees: 1
anywhere.: 1
female.: 1
â€œThis: 4
FOREVER.â€: 1
tent.: 1
spoke: 10
would: 24
coins: 1
arms: 15
fingertips,: 1
call: 10
therefore: 1
trees.: 2
strike: 2
survive: 1
weary.â€: 1
started.: 1
until: 3
stories.: 1
leap,: 1
paperwork: 1
count,: 1
lungs: 1
count.: 2
pierced: 1
glass: 19
...: 1
90: 2
midst: 3
hold: 5
outdated: 1
off,: 1
mountains: 3
must: 44
me: 13
join: 3
room: 5
Foundation,: 4
rights: 1
books,: 2
1998: 1
books.: 1
work: 53
liability,: 1
worn: 1
waiting.: 1
laughter.: 1
root: 3
shook: 3
helplessly.: 1
NOTICE: 1
scars: 1
soon.â€: 1
give: 17
hot,â€: 1
in: 319
organized: 1
ACTUAL,: 1
ASCII": 2
buttons.: 1
sunrays: 1
mouth,: 1
times: 3
OWNER,: 1
Teachers.: 2
Women: 1
end: 8
Mating,: 1
Mating.: 3
provide: 7
agony: 2
travel: 1
INCIDENTAL: 1
damage: 1
ONE: 3
damages.: 1
how: 20
damages,: 1
youth,: 1
answer: 2
place: 8
A: 2
Not: 1
beauty: 1
lad: 1
after: 5
5-3000.: 2
damaged: 1
5-3000,: 3
forty.: 1
laugh.: 1
forty,: 2
lay: 14
curiosity: 1
bottles: 1
food;: 1
law: 9
Scholars: 18
types: 1
All: 5
still;: 1
wherever: 1
greet: 1
learning.: 1
still,: 3
still.: 2
cold,: 1
green: 7
enter: 3
aloud: 2
sun.: 4
Beyond: 1
wind: 4
departed.: 1
Ancient: 2
decide: 2
office: 2
over: 23
Studentsâ€™: 1
expects: 1
sickly: 1
guidance: 1
down,: 4
oven: 2
down.: 1
ears,: 1
pass?: 1
before: 49
beside: 1
His: 1
then.: 1
died.: 1
then,: 4
somewhere: 1
fix: 1
gutter: 1
Here: 1
writing: 5
better: 3
endeavoring: 1
glanced: 2
Judge: 1
State.: 1
hidden: 3
regret.: 2
them: 43
high,: 2
Council,: 8
break: 2
shameful: 1
they: 192
plates: 1
one: 50
silver: 2
bread: 1
shadows: 6
represents: 1
brightness: 1
wished,: 1
rocks: 1
alone?â€: 1
victory: 1
arrow: 1
each: 31
went: 14
side: 3
bond: 1
lifted: 1
whim: 1
financial: 1
brain,: 1
provisions.: 1
Palace.: 1
crimes: 1
Onesâ€™: 1
joined: 1
vote: 1
taught: 6
die.â€: 1
forgot: 1
ring: 3
whip: 1
peaks: 3
(a): 1
day;: 1
Ever: 1
â€œTake: 1
forty: 1
day.: 2
sparkle: 1
day,: 10
is.: 1
PROJECT: 4
accessible: 1
size: 1
forth: 11
pulpit,: 1
half-brain,: 1
calmest: 1
two.: 1
â€œMy: 1
Thus,: 2
